run_accession	sample_alias	experiment_title	read_count	fastq_bytes
ERR369570	Lentiviral_mouse_whole_genome_gRNA_library_verion_1_preparation_2-sc-2013-09-12T11:21:12Z-1691994	Illumina HiSeq 2000 sequencing	5234805	229941235
ERR369573	Lentiviral_mouse_whole_genome_gRNA_library_verion_1_preparation_2-sc-2013-09-12T11:21:12Z-1691994	Illumina HiSeq 2000 sequencing	5761497	256843839
ERR369576	gRNA_site_1_against_26_GPI_genes_transfected_rep1-sc-2013-09-12T15:06:16Z-1692095	Illumina MiSeq paired end sequencing	2410990	124984528;176228263
ERR369580	gRNA_site_1_against_26_GPI_genes_transfected_rep2-sc-2013-09-12T15:06:18Z-1692099	Illumina MiSeq paired end sequencing	2083268	106301818;152523293
ERR369581	gRNA_site_2_against_26_GPI_genes_transfected_rep2-sc-2013-09-12T15:06:19Z-1692100	Illumina MiSeq paired end sequencing	2061572	102675839;148526339
ERR377006	Flu_resistant_mESC_gLib1_2nd_round_4MOI-sc-2013-09-18T13:07:29Z-1692979	Illumina MiSeq paired end sequencing	1456920	28693043;32297462
ERR377014	Mouse_whole_genome_gRNA_v1_mESC_library_1-sc-2013-09-12T11:21:15Z-1691995	Illumina HiSeq 2000 sequencing	9880940	272075921
ERR377019	gRNA_site_2_against_26_GPI_genes_control_rep3-sc-2013-09-27T10:26:21Z-1710011	Illumina MiSeq paired end sequencing	2856226	83870821;112976285
ERR381932	JM8_5_clone2_NAG_Indel-sc-2013-09-27T10:27:33Z-1710017	Illumina MiSeq paired end sequencing	629984	40041876;49370487
ERR381937	JM8_5_clone7_NAG_Indel-sc-2013-09-27T10:57:11Z-1710022	Illumina MiSeq paired end sequencing	603458	38303398;47303592
ERR381942	JM8_8_clone2_NAG_Indel-sc-2013-09-27T11:01:11Z-1710027	Illumina MiSeq paired end sequencing	693228	43681015;53185829
ERR381943	JM8_8_clone3_NAG_Indel-sc-2013-09-27T11:01:18Z-1710028	Illumina MiSeq paired end sequencing	789804	49644425;60569104
ERR381947	JM8_8_clone7_NAG_Indel-sc-2013-09-27T11:01:41Z-1710032	Illumina MiSeq paired end sequencing	1874810	117456589;141597639
ERR381948	JM8_8_clone8_NAG_Indel-sc-2013-09-27T11:01:03Z-1710033	Illumina MiSeq paired end sequencing	826448	51959203;62981932
ERR381949	JM8_8_clone9_NAG_Indel-sc-2013-09-27T11:01:47Z-1710034	Illumina MiSeq paired end sequencing	777384	48825890;59586423
ERR381957	JM8_5_clone2_NAG_Indel-sc-2013-09-27T10:27:33Z-1710017	Illumina MiSeq paired end sequencing	762376	25168168;35421432
ERR381970	JM8_8_clone5_NAG_Indel-sc-2013-09-27T11:01:30Z-1710030	Illumina MiSeq paired end sequencing	1064866	34445511;46388181
ERR381971	JM8_8_clone6_NAG_Indel-sc-2013-09-27T11:01:35Z-1710031	Illumina MiSeq paired end sequencing	940700	30718516;41741268
ERR381975	JM8_8_clone10_NAG_Indel-sc-2013-09-27T11:01:53Z-1710035	Illumina MiSeq paired end sequencing	705860	23045451;31356767
ERR455244	Lentiviral_mouse_genome_wide_gRNA_library_verion_1_preparation_2_replicated_on_plate_1-sc-1806289	Illumina HiSeq 2000 sequencing	17285942	422488259
ERR309963	JM8_5_clone4-sc-2013-06-06T20:58:28Z-1643298	Illumina MiSeq paired end sequencing	420839	53329547;61593373
ERR309982	GPI_geneset_2-sc-2013-06-06T20:56:35Z-1643292	Illumina MiSeq paired end sequencing	2662532	310377210;388739819
ERR338404	gPool_3_2-sc-2013-06-26T16:17:30Z-1654033	Illumina MiSeq paired end sequencing	512062	20168124;22126996
ERR338406	gPool_3_4-sc-2013-06-26T16:18:46Z-1654035	Illumina MiSeq paired end sequencing	466033	18285023;20100470
