gene_annotation	policy	eligible_primary	fixed_exact_baseline_sum	baseline_guides_ge10	fixed_best_control	fixed_best_cellular	joint_control_lower	joint_cellular_lower	joint_control_upper	joint_cellular_upper	fixed_best_log2_ratio	joint_gene_unique_log2_ratio	delta_log2	conditional_low	conditional_high
ARMC4	exact	1	623	5	646	819	646	836	646	836	0.3128274883527053	0.3424490792915992	0.029621590938893883	0.3424490792915992	0.3424490792915992
ARMC5	exact	1	532	5	550	710	551	710	551	710	0.3388259947419125	0.3362076727148986	-0.0026183220270138974	0.3362076727148986	0.3362076727148986
ARMC6	exact	1	232	4	247	195	246	195	246	195	-0.36952600859611884	-0.36368513000705815	0.005840878589060683	-0.36368513000705815	-0.36368513000705815
ARMC7	exact	1	702	5	731	375	743	397	743	397	-0.9913110475607144	-0.9326439728172	0.0586670747435144	-0.9326439728172	-0.9326439728172
ARMC8	exact	1	336	5	348	286	353	260	353	260	-0.3118896080480172	-0.46969293346738966	-0.15780332541937248	-0.46969293346738966	-0.46969293346738966
ARMC9	exact	1	290	5	312	252	312	250	312	250	-0.33683889284679136	-0.34831167729074014	-0.01147278444394878	-0.34831167729074014	-0.34831167729074014
ARMCX1	exact	1	709	5	740	891	735	896	735	896	0.23846897139964818	0.25631215067704555	0.01784317927739737	0.25631215067704555	0.25631215067704555
ARMCX2	exact	1	460	5	484	592	473	582	473	582	0.2610523974340412	0.26962753313675875	0.008575135702717562	0.26962753313675875	0.26962753313675875
ARMCX3	exact	1	459	5	484	402	480	382	480	382	-0.2967739733496008	-0.35834277413023524	-0.061568800780634425	-0.35834277413023524	-0.35834277413023524
ARMCX4	exact	1	543	5	561	333	573	340	573	340	-0.7808653521525152	-0.781404778940253	-0.0005394267877377734	-0.781404778940253	-0.781404778940253
ARMCX5	exact	1	556	5	578	822	582	816	582	816	0.47843262857861485	0.45792874508355347	-0.02050388349506138	0.45792874508355347	0.45792874508355347
ARMCX6	exact	1	368	5	383	198	378	193	378	193	-0.9793536612964746	-0.9972258247778204	-0.017872163481345793	-0.9972258247778204	-0.9972258247778204
ARNT	exact	1	778	5	806	524	811	532	811	532	-0.649997851514874	-0.6370756603712701	0.012922191143603934	-0.6370756603712701	-0.6370756603712701
ARNTL	exact	1	759	5	790	771	799	775	799	775	-0.06436539672413497	-0.07323734338074045	-0.008871946656605484	-0.07323734338074045	-0.07323734338074045
ARNTL2	exact	1	580	5	610	534	610	537	610	537	-0.2210674382034118	-0.2129926314470796	0.008074806756332181	-0.2129926314470796	-0.2129926314470796
ARPC1A	exact	1	332	5	337	218	354	217	354	217	-0.6565203133740938	-0.7340363174399246	-0.07751600406583081	-0.7340363174399246	-0.7340363174399246
ARPC1B	exact	1	489	4	510	606	512	599	512	599	0.21933059330620966	0.19694165808491623	-0.022388935221293427	0.19694165808491623	0.19694165808491623
ARPC2	exact	1	486	4	506	796	505	787	505	787	0.6238460017876726	0.6103027404351276	-0.013543261352545022	0.6103027404351276	0.6103027404351276
ARPC3	exact	1	420	5	443	381	432	389	432	389	-0.2465171384030324	-0.18034289539891674	0.06617424300411567	-0.18034289539891674	-0.18034289539891674
ARPC5	exact	1	303	3	320	243	315	230	315	230	-0.4256686754728979	-0.4821393454897102	-0.05647067001681233	-0.4821393454897102	-0.4821393454897102
ARPC5L	exact	1	121	4	134	105	131	74	131	74	-0.3796292647859383	-0.8490165597666398	-0.46938729498070153	-0.8490165597666398	-0.8490165597666398
ARPM1	exact	1	311	5	323	310	333	315	333	315	-0.08843853470852532	-0.10931284713853481	-0.020874312430009492	-0.10931284713853481	-0.10931284713853481
ARPP19	exact	1	216	2	235	199	226	144	226	144	-0.2686044043269363	-0.6777076484820551	-0.40910324415511884	-0.6777076484820551	-0.6777076484820551
ARR3	exact	1	472	4	495	533	500	525	500	525	0.07733712270143761	0.04105460418968605	-0.03628251851175156	0.04105460418968605	0.04105460418968605
ARRB1	exact	1	485	5	498	408	506	373	506	373	-0.3165235171890117	-0.46872011694839993	-0.1521965997593882	-0.46872011694839993	-0.46872011694839993
ARRB2	exact	1	227	4	239	258	239	258	239	258	0.08087253364225537	0.08087253364225537	0.0	0.08087253364225537	0.08087253364225537
ARRDC1	exact	1	242	5	252	289	249	291	249	291	0.16801386941358026	0.19518997692673676	0.027176107513156494	0.19518997692673676	0.19518997692673676
ARRDC2	exact	1	171	5	176	167	182	172	182	172	-0.10477317886254453	-0.11056619303834728	-0.0057930141758027465	-0.11056619303834728	-0.11056619303834728
ARRDC3	exact	1	974	5	1026	1197	1012	1198	1012	1198	0.1930259375784417	0.21404191005328435	0.02101597247484266	0.21404191005328435	0.21404191005328435
ARRDC4	exact	1	268	5	283	178	281	178	281	178	-0.696690751849628	-0.6864769389876291	0.010213812861998961	-0.6864769389876291	-0.6864769389876291
ARRDC5	exact	1	318	5	329	363	336	341	336	341	0.11241080797504364	-0.007987017256725817	-0.12039782523176946	-0.007987017256725817	-0.007987017256725817
ARSA	exact	1	345	4	363	479	356	464	356	464	0.3703093601620374	0.35251042900226565	-0.01779893115977177	0.35251042900226565	0.35251042900226565
