scope	left	right	gene	left_guides	right_guides	left_lfc	right_lfc	delta_lfc	left_fdr	right_fdr	left_rank	right_rank	left_call_0_05	right_call_0_05	left_distance_from_0_05	right_distance_from_0_05
full	joint_exact	joint_best	TIMM23	4	4	-4.2068	-4.2768	-0.0699999999999994	0.050937	0.043487	1151.0	1047.0	0	1	0.0009370000000000003	0.006513000000000005
full	joint_exact	joint_best	TOMM20	4	4	-2.7198	-2.74	-0.020199999999999996	0.05493	0.04723	1180.0	1079.0	0	1	0.004929999999999997	0.0027700000000000016
full	joint_exact	joint_best	TOP3A	4	4	-2.1646	-1.9074	0.2572000000000001	0.055119	0.04762	1184.0	1082.0	0	1	0.0051189999999999986	0.00238
full	joint_exact	joint_best	TRMT112	4	4	-3.8746	-3.8229	0.05169999999999986	0.052383	0.047949	1161.0	1088.0	0	1	0.0023829999999999962	0.002051000000000004
full	joint_exact	joint_best	TUBGCP2	4	4	-4.5673	-3.3241	1.2432000000000003	0.040791	0.118756	1051.0	1499.0	1	0	0.009209000000000002	0.068756
full	joint_exact	joint_best	UBE3D	4	4	-3.7262	-3.7307	-0.0045000000000001705	0.051049	0.043567	1156.0	1050.0	0	1	0.0010489999999999944	0.006433000000000001
full	joint_exact	joint_best	UPK3BL	4	4	-1.4811	-1.3479	0.13319999999999999	0.030606	0.146249	931.0	1619.0	1	0	0.019394	0.09624899999999999
full	joint_exact	joint_best	UQCRB	4	4	-3.9355	-3.3363	0.5992000000000002	0.029965	0.206063	921.0	1786.0	1	0	0.020035000000000004	0.156063
full	joint_exact	joint_best	UTP15	4	4	-5.6722	-4.6643	1.0079000000000002	0.017772	0.056716	728.0	1171.0	1	0	0.03222800000000001	0.006716
full	joint_exact	joint_best	VPS29	4	4	-3.0418	-3.0747	-0.03290000000000015	0.05001	0.042868	1140.0	1042.0	0	1	9.999999999996123e-06	0.0071319999999999995
full	joint_exact	joint_best	WARS2	4	4	-3.4292	-3.3744	0.05479999999999974	0.021514	0.06297	819.0	1226.0	1	0	0.028486000000000004	0.012969999999999995
full	joint_exact	joint_best	WBSCR16	4	4	-3.4808	-2.8102	0.6705999999999999	0.01385	0.079592	621.0	1319.0	1	0	0.03615	0.029591999999999993
full	joint_exact	joint_best	WDR33	4	4	-3.1089	-2.8797	0.22920000000000007	0.045961	0.050395	1097.0	1123.0	1	0	0.004039000000000001	0.0003949999999999995
full	joint_exact	joint_best	ZMAT5	4	4	-3.5271	-3.1633	0.3637999999999999	0.035377	0.050152	1001.0	1118.0	1	0	0.014623000000000004	0.00015199999999999936
full	joint_best	joint_radius	BSCL2	4	4	-1.5942	-1.5975	-0.0032999999999998586	0.052405	0.049703	1136.0	1118.0	0	1	0.0024049999999999974	0.0002970000000000056
